name,brand,price,color,start_date,end_date,shortage
乔丹 强风SE 秋冬版,乔丹,309,#e3ecf3,2023-12-10,,20公里，右脚脚踝磨出红点。右脚大拇指有一点顶脚。2024-01-27，右脚大拇指下面有点磨脚。
乔丹 飞影PB 2.0,乔丹,339,#5290b6,2023-10-31,,1. 右脚脚踝内测磨出小红点(2024-02-07) 2.中底硬，路跑超过10km脚麻，可能更适合操场(2024-02-25).
李宁 赤兔6 PRO,李宁,250,#f17c47,2023-10-16,,1. 太薄，震脚，外高内低。2. 跑完强度，10km右脚前面不舒服，右腿膝盖隐痛。
李宁 飞电3 Challenger,李宁,409,#f3caba,2023-06-27,,太薄，震脚。外高内低。碳板搁脚。
乔丹 强风SE,乔丹,339,#e8af7f,2023-06-06,,
李宁 越影,李宁,199,#444750,2023-04-10,2024-01-03,
HOKA Speedgoat 5,HOKA,758,#7ed7f1,2023-03-07,,
安踏 柏油路霸,安踏,299,#7e875e,2021-11-10,,
361度 Spire R,361度,339,#d3aecc,2021-11-01,2023-11-01,
多威 MR3900 征途,多威,246,#164180,2021-09-28,2022-09-28,
Saucony Kinvara 11,Saucony,569,#e1f66d,2021-09-02,2024-02-12,1. 10公里快跑后，右脚大脚趾下面出现水泡
Mizuno WAVE RIDER 24,Mizuno,613,#2e3e47,2021-06-06,2023-06-06,
ASICS GEL-NIMBUS 21,ASICS,595,#3b4c16,2020-12-08,2021-12-08,
Saucony Triumph 18,Saucony,739,#65666a,2020-11-06,,1. 8公里后右脚前脚掌里侧不舒服
ASICS GEL-CUMULUS 21,ASICS,400,#2e66aa,2020-07-25,2022-07-04,
迪卡侬 RUN ACTIVE,迪卡侬,200,#eefd01,2020-07-04,2021-07-04,
adidas adizero Boston 12,Adidas,600,#c7e6bc,2023-12-31,,1. 掉后跟。2.鞋舌上滑导致硌脚脖子。
特步 160X 5.0,特步,609,#91da8d,2024-01-22,,1. 全力跑11公里后左脚足弓疼，拉伸后不疼了(2024-02-10)