date,shoe,title,score
2024-03-16,特步 160X 5.0,海和之春10km比赛,0.2
2024-04-14,特步 160X 5.0,2024天津东丽湖半程马拉松,0.3
2023-10-17,乔丹 强风SE,2023校庆跑,0.1
2022-10-04,Saucony Kinvara 11,2022校庆跑,0.1
2021-10-07,Saucony Kinvara 11,2021校庆跑,0.1
2020-10-17,ASICS GEL-CUMULUS 21,2020校庆跑,0.1
2024-06-22,乔丹 飞影Plaid 1.5,海和之春10km比赛,0.2
2024-06-29,乔丹 飞影Plaid 1.5,海和之春15.8km比赛,0.2
2024-07-28,乔丹 飞影Plaid 1.5,RWF第一届接力赛,0.2
2024-09-22,乔丹 飞影Plaid 1.5,2024天津团泊湖半程马拉松,0.3
2024-09-28,Saucony Triumph 18,南开大学建校105周年特色马拉松校庆跑,0.2
2024-10-17,必迈 远征者5.0,2024校庆跑,0.1
2024-11-23,乔丹 飞影Plaid 1.5,海和之春10km比赛,0.2
2024-04-26,乔丹 飞影Plaid 1.5,2025天津东丽湖半程马拉松,0.3
2025-05-24,多威 神行者 2,2025南开大学特色马拉松校园跑,0.2
2025-09-14,adidas adizero adios Pro 4,2025天津西青半程马拉松,0.3
2025-09-27,adidas adizero adios Pro 4,2025天津大学&南开大学校庆跑暨全国名校青春跑邀请赛,0.2
2025-10-26,adidas adizero adios Pro 4,2025天津马拉松,0.5