date,northbound_flow
20230511,622.46
20230512,1505.67
20230515,5114.92
20230516,-3198.4
20230517,4923.23
20230518,-432.43000000000006
20230519,-2970.17
20230522,3394.95
20230523,-4981.23
20230524,-6379.3099999999995
20230525,-5658.200000000001
20230529,566.3799999999999
20230530,1425.99
20230531,-3773.0699999999997
20230601,-3082.3199999999997
20230602,8258.56
20230605,3826.29
20230606,-4703.67
20230607,3090.58
20230608,5553.43
20230609,-2249.7400000000002
20230612,-623.29
20230613,1258.25
20230614,-1520.79
20230615,5437.700000000001
20230616,5228.880000000001
20230619,2038.58
20230620,-193.58999999999992
20230621,-1805.49
20230626,3527.94
20230627,-6946.62
20230628,-745.3699999999999
20230629,-8985.65
20230630,3783.35
20230703,808.8000000000002
20230704,-2564.0299999999997
20230705,530.48
20230706,647.4099999999999
20230707,-6426.15
20230710,82.04999999999995
20230711,1971.1100000000001
20230712,191.64999999999998
20230713,12070.52
20230714,295.6
20230718,-7418.33
20230719,2570.8199999999997
20230720,-5537.83
20230721,6226.259999999999
20230724,-352.41000000000076
20230725,16901.05
20230726,4170.48
20230727,2584.19
20230728,20121.84
20230731,7566.9800000000005
20230801,8980.96
20230802,-4935.0
20230803,2405.38
20230804,544.9499999999998
20230807,343.71000000000004
20230808,-3473.77
20230809,-2942.59
20230810,-1983.6000000000001
20230811,-7600.39
20230814,-72.81999999999971
20230815,-6495.35
20230816,-5039.32
20230817,3475.8500000000004
20230818,-7738.209999999999
20230821,-1857.1799999999994
20230822,-3874.3500000000004
20230823,-7913.36
20230824,5495.74
20230825,-554.5699999999999
20230828,-5705.16
20230829,920.87
20230830,342.4699999999998
20230831,-2583.65
20230904,9382.130000000001
20230905,1591.25
20230906,2561.55
20230907,-3113.27
20230911,-2815.87
20230912,1336.0800000000002
20230913,-7828.51
20230914,-5201.3
20230915,-2405.18
20230918,7409.35
20230919,-699.01
20230920,-1604.25
20230921,-2105.05
20230922,5049.9800000000005
20230925,-4821.75
20230926,-6593.549999999999
20230927,3414.42
20230928,-2587.63
20231009,-6409.259999999999
20231010,-1788.9500000000003
20231011,157.92000000000002
20231012,2856.31
20231013,-4551.389999999999
20231016,-4462.299999999999
20231017,-3179.78
20231018,-3517.0600000000004
20231019,-10265.64
20231020,-120.8900000000001
20231024,-1492.5299999999997
20231025,-1098.53
20231026,2920.3
20231027,6329.23
20231030,-1073.21
20231031,-3826.6800000000003
20231101,-508.8800000000001
20231102,3269.16
20231103,7628.719999999999
20231106,5027.22
20231107,123.5600000000004
20231108,-4069.19
20231109,2662.33
20231110,-2285.16
20231113,-1809.36
20231114,-1711.57
20231115,-1446.5499999999997
20231116,-100.12999999999965
20231117,-1372.04
20231120,-2934.3899999999994
20231121,-1792.19
20231122,-698.5700000000002
20231123,1497.3099999999995
20231124,-1761.4699999999993
20231127,683.77
20231128,981.6200000000001
20231129,-4429.28
20231130,9714.849999999999
20231201,-2008.5400000000004
20231204,-1653.6799999999998
20231205,-5238.97
20231206,5008.66
20231207,547.45
20231208,2507.74
20231211,-472.9200000000001
20231212,-5876.55
20231213,-9022.859999999999
20231214,-1322.6999999999998
20231215,-5835.9400000000005
20231218,9041.619999999999
20231219,-868.8399999999999
20231220,-6355.25
20231221,2664.31
20231222,-5098.95
20231227,6248.65
20231228,12019.36
20231229,1079.49
20240102,-2709.7100000000005
20240103,5623.78
20240104,-2160.4300000000003
20240105,3251.1800000000003
20240108,-4640.219999999999
20240109,-1553.33
20240110,2258.15
20240111,2220.3900000000003
20240112,-2156.92
20240115,2079.74
20240116,-1713.7400000000002
20240117,-9050.289999999999
20240118,105.5
20240119,-4093.5099999999998
20240122,2116.28
20240123,1312.6
20240124,1173.8
20240125,6846.12
20240126,4680.27
20240129,-1937.08
20240130,1648.81
20240131,3999.35
20240201,2580.98
20240202,1041.9399999999998
20240205,3615.75
20240206,9563.75
20240207,4286.79
20240208,3573.05
20240219,-2909.54
20240220,2856.79
20240221,14251.61
20240222,5903.38
20240223,3754.6800000000003
20240226,331.72
20240227,13429.869999999999
20240228,2791.48
20240229,18087.18
20240301,-2996.2500000000005
20240304,-5026.51
20240305,5255.139999999999
20240306,-618.33
20240307,1032.71
20240308,7698.1
20240311,12496.05
20240312,4747.28
20240313,8190.42
20240314,8247.41
20240315,12744.87
20240318,4203.39
20240319,-3692.09
20240320,9440.849999999999
20240321,-4392.599999999999
20240322,5057.110000000001
20240325,2350.68
20240326,7161.32
20240327,-3373.72
20240328,4655.63
20240402,566.1800000000001
20240403,1493.8700000000003
20240408,79.61000000000013
20240409,2313.7799999999997
20240410,-3526.3199999999997
20240411,6334.58
20240412,-4124.9
20240415,11853.2
20240416,2831.1800000000003
20240417,1334.5
20240418,-1401.3000000000002
20240419,-1875.8000000000002
20240422,2919.78
20240423,-1356.06
20240424,6202.96
20240425,2054.19
20240426,22557.38
20240429,13073.7
20240430,-5846.4
20240506,12676.85
20240507,-588.8900000000001
20240508,-3470.62
20240509,4292.27
20240510,-3097.3199999999997
20240513,541.75
20240514,-6283.56
20240516,8120.0
20240517,17311.85
20240520,7128.58
20240521,-1186.29
20240522,6043.5
20240523,-540.6100000000001
20240524,-2427.6499999999996
20240527,4790.33
20240528,-3534.49
20240529,7209.219999999999
20240530,3108.58
20240531,-1123.25
20240603,2988.26
20240604,8078.9400000000005
20240605,-722.6299999999992
20240606,8920.25
20240607,1445.3200000000002
20240611,-1928.3600000000006
20240612,263.9399999999996
20240613,-5006.63
20240614,-1683.8999999999996
20240617,-1468.5200000000002
20240618,221.49000000000024
20240619,-6401.41
20240620,572.1400000000003
20240621,2612.3599999999997
20240624,-1553.1499999999999
20240625,-2863.98
20240626,181.25000000000023
20240627,-8916.66
20240628,6375.77
20240702,-3209.81
20240703,-556.5600000000001
20240704,-3984.62
20240705,-1892.77
20240708,-1033.9
20240709,16283.14
20240710,-960.1500000000001
20240711,4005.6
20240712,2509.32
20240715,-241.71000000000004
20240716,619.73
20240717,-7165.65
20240718,3026.11
20240719,-1872.75
20240722,4363.11
20240723,-4020.4900000000002
20240724,-1765.08
20240725,-8419.7
20240726,4532.51
20240729,-4661.2699999999995
20240730,-1835.38
20240731,21192.93
20240801,-1325.9499999999998
20240802,-4869.8
20240805,1703.02
20240806,-3042.7200000000003
20240807,4504.75
20240808,-1171.92
20240809,-6436.150000000001
20240812,1918.3100000000002
20240813,-1265.1499999999999
20240814,-8060.98
20240815,16679.760000000002
20240816,-3954.3999999999996
